county,year,unemployment_rate
alameda county,2000,3.6
alameda county,2001,4.8
alameda county,2002,6.8
alameda county,2003,6.9
alameda county,2004,5.9
alameda county,2005,5.1
alameda county,2006,4.4
alameda county,2007,4.7
alameda county,2008,6.2
alameda county,2009,10.7
alameda county,2010,11.2
alameda county,2011,10.3
alameda county,2012,8.8
alameda county,2013,7.3
alameda county,2014,5.9
alameda county,2015,4.8
alameda county,2016,4.3
alameda county,2017,3.7
alameda county,2018,3.1
alameda county,2019,3.0
alameda county,2020,8.9
alameda county,2021,6.1
alameda county,2022,3.4
alameda county,2023,4.1
alpine county,2000,6.3
alpine county,2001,7.3
alpine county,2002,7.6
alpine county,2003,8.5
alpine county,2004,8.1
alpine county,2005,8.0
alpine county,2006,6.4
alpine county,2007,7.9
alpine county,2008,10.5
alpine county,2009,14.7
alpine county,2010,13.1
alpine county,2011,12.9
alpine county,2012,11.2
alpine county,2013,9.8
alpine county,2014,8.3
alpine county,2015,7.5
alpine county,2016,6.5
alpine county,2017,6.2
alpine county,2018,4.6
alpine county,2019,5.2
alpine county,2020,11.7
alpine county,2021,8.2
alpine county,2022,5.7
alpine county,2023,6.5
amador county,2000,5.1
amador county,2001,5.1
amador county,2002,5.8
amador county,2003,6.2
amador county,2004,5.8
amador county,2005,5.6
amador county,2006,5.3
amador county,2007,5.7
amador county,2008,7.7
amador county,2009,11.9
amador county,2010,14.4
amador county,2011,13.8
amador county,2012,12.5
amador county,2013,10.4
amador county,2014,8.4
amador county,2015,6.6
amador county,2016,6.0
amador county,2017,5.0
amador county,2018,4.1
amador county,2019,3.9
amador county,2020,9.4
amador county,2021,7.0
amador county,2022,4.5
amador county,2023,5.1
butte county,2000,6.1
butte county,2001,6.6
butte county,2002,7.5
butte county,2003,7.7
butte county,2004,7.4
butte county,2005,6.7
butte county,2006,6.2
butte county,2007,6.6
butte county,2008,8.5
butte county,2009,12.8
butte county,2010,14.2
butte county,2011,13.9
butte county,2012,12.3
butte county,2013,10.4
butte county,2014,8.7
butte county,2015,7.2
butte county,2016,6.6
butte county,2017,5.8
butte county,2018,5.1
butte county,2019,5.1
butte county,2020,9.4
butte county,2021,6.9
butte county,2022,4.5
butte county,2023,5.2
calaveras county,2000,5.5
calaveras county,2001,5.5
calaveras county,2002,6.6
calaveras county,2003,7.5
calaveras county,2004,6.8
calaveras county,2005,6.2
calaveras county,2006,5.8
calaveras county,2007,6.4
calaveras county,2008,8.7
calaveras county,2009,14.2
calaveras county,2010,14.8
calaveras county,2011,14.3
calaveras county,2012,12.6
calaveras county,2013,10.1
calaveras county,2014,8.1
calaveras county,2015,6.4
calaveras county,2016,5.7
calaveras county,2017,4.8
calaveras county,2018,4.0
calaveras county,2019,3.8
calaveras county,2020,7.8
calaveras county,2021,5.8
calaveras county,2022,3.7
calaveras county,2023,4.2
colusa county,2000,11.4
colusa county,2001,12.9
colusa county,2002,13.9
colusa county,2003,14.5
colusa county,2004,13.7
colusa county,2005,12.7
colusa county,2006,12.2
colusa county,2007,11.6
colusa county,2008,13.9
colusa county,2009,18.3
colusa county,2010,21.3
colusa county,2011,21.6
colusa county,2012,21.0
colusa county,2013,19.1
colusa county,2014,17.6
colusa county,2015,15.5
colusa county,2016,15.6
colusa county,2017,14.3
colusa county,2018,13.2
colusa county,2019,12.9
colusa county,2020,16.4
colusa county,2021,12.5
colusa county,2022,11.8
colusa county,2023,13.0
contra costa county,2000,3.5
contra costa county,2001,4.1
contra costa county,2002,5.8
contra costa county,2003,6.2
contra costa county,2004,5.4
contra costa county,2005,4.8
contra costa county,2006,4.3
contra costa county,2007,4.6
contra costa county,2008,6.2
contra costa county,2009,10.4
contra costa county,2010,11.2
contra costa county,2011,10.5
contra costa county,2012,9.1
contra costa county,2013,7.6
contra costa county,2014,6.2
contra costa county,2015,5.1
contra costa county,2016,4.5
contra costa county,2017,3.9
contra costa county,2018,3.2
