year,county,fire_name,acres
2023,Siskiyou,WHITWORTH,5.729125
2023,Butte,KAISER,13.602385
2023,Amador,JACKSON,27.814465
2023,Amador,CARBON,58.760227
2023,Amador,LIBERTY,70.979
2023,Sacramento,CLAY,28.637909
2023,San Benito,PAICINES,13.593129
2023,San Luis Obispo,VINEYARD,391.37494
2023,Monterey,VINEYARD,391.37494
2023,Monterey,SLACKS,40.41796
2023,San Benito,IDRIA,296.64453
2023,Shasta,WONDER,161.81369
2023,Shasta,PINE,11.918015
2023,Shasta,OLIVE,20.67
2023,Butte,TURKEY,52.17383
2023,Butte,VIRGINIA,10.072015
2023,Riverside,RABBIT,8354.776
2023,Riverside,HIGHLAND,104.02066
2023,Riverside,RECHE,435.68396
2023,Riverside,GAVILAN,334.58276
2023,Riverside,RAMONA,337.93158
2023,Butte,CEMETERY,74.10231
2023,Trinity,1-10,56.87772
2023,Butte,CANA,19.288158
2023,El Dorado,MISTY,11.7
2023,Riverside,HIGHLAND,2487.0
2023,Amador,PLYMOUTH,11.1
2023,Butte,WALL,11.122622
2023,Kern,HOSTLY,83.712685
2023,Kern,ADOBE,5.9487286
2023,Kern,LAZY,3.2677271
2023,Kern,BITTER,225.64061
2023,Kern,LAVENDER ,14.74279
2023,Kern,POND,6.7633452
2023,Kern,ELK,9.687215
2023,Kern,TOLL,6.8605866
2023,Kern,POINT,4.915308
2023,Kern,PENTLAND,83.475555
2023,Kern,LITTLE,59.267845
2023,Kern,ELK,5.666053
2023,Kern,TANK,5.7773776
2023,San Luis Obispo,TANK,5.7773776
2023,Kern,FAMOSO,6.419109
2023,Kern,LAST,3.3347123
2023,Kern,POST,5.966745
2023,Kern,WATER,7.9617214
2023,Kern,CHAMPAGNE,107.84875
2023,Kern,TRUCK,17.156965
2023,Kern,ROUND,536.0197
2023,Kern,CANYON,9.05986
2023,Kern,SOUTH 2,9.613276
2023,Kern,TREE,6.1701913
2023,Kern,BAKER,3.7237601
2023,Kern,MID,4.990486
2023,Kern,DISTRICT,1043.665
2023,Kern,BODFISH,52.757534
2023,Kern,SCODIE,20.61374
2023,Kern,BEALE,60.6251
2023,Kern,HABERKERN,34.74714
2023,Kern,COMANCHE,4.3875246
2023,Kern,EAST,1291.1656
2023,Kern,EDMONSTON,14.590142
2023,Kern,ALMOND,5228.871
2023,Kern,BOULEVARD,89.46474
2023,Kern,BRITE,3.8167157
2023,Kern,GENERAL,16.050684
2023,Kern,TROTTER,52.547165
2023,Kern,GROVE,4.713907
2023,Kern,BLACKWELL,34.649033
2023,Kern,SEMI,4.0159955
2023,Kern,DEN,33.320766
2023,Kern,ROLLING,7.908133
2023,Kern,TULE,7.309518
2023,Kern,CALIENTE ,55.02539
2023,Kern,FLAT,10.37647
2023,Kern,TOWER ,5.175606
2023,Kern,POSO ,5.0022383
2023,Kern,BLUE BARN ,7.971368
2023,Kern,CORNER,6.4306293
2023,Kern,ROCK,13.717119
2023,Kern,SKY,4.4403057
2023,Kern,LIERLY,3.0306878
2023,Kern,ANNETTE,5.2266283
2023,Kern,CREEK,6.3157287
2023,Kern,SHERWOOD,8.496378
2023,Kern,CROCKER,8.202892
2023,Kern,BRONZE,5.4876614
2023,Kern,KERN,16.764347
2023,Kern,LINE,86.276695
2023,Kern,FIELD,15.041389
2023,Kern,FANO,3.0004704
2023,Kern,FANO 2,3.4336216
2023,Kern,FRONT,7.2589087
2023,Kern,HOLLOW,13.32836
2023,Santa Barbara,PLANT,5761.5215
2023,Santa Barbara,SUN,211.19197
2023,Santa Barbara,GRADE,95.66613
2023,Yuba,SCOTT,94.27705
2023,Yuba,PEOIRA,58.00984
2023,Yuba,SICARD,13.73
2023,Kern,TULE 2,3.12156
2023,Kern,RANCHO,2.2649
2023,Kern,PINE,169.973
2023,Madera,WHISKEY,83.0
2023,Monterey,WILLIAMS,4.5
2023,Ventura,TRAIL,1.655345
2023,Ventura,VILLANOVA,13.012357
2023,Ventura,SOUTH,2715.4
2023,Riverside,ROCK,531.0221
2023,Riverside,BONNY,2323.1064
2023,Monterey,WILLIAMS,53.9
2023,Placer,TANWOODS,9.532271
2023,Placer,FOOTHILLS,25.0
2023,Placer,BREWER,11.63
2023,Yuba,ERIC,44.0
2023,Yuba,SPENCEVILLE,10.8
2023,Yuba,DOOLITTLE,16.6
2023,Calaveras,GANN,106.0
2023,Mendocino,HAZEL,0.46
2023,San Luis Obispo,BITTER,695.1143
2023,San Luis Obispo,BEAR,0.30762306
2023,San Luis Obispo,HILL,6.2472367
2023,San Luis Obispo,ESTRELLA,1.1847585
2023,San Luis Obispo,GREEN,247.2606
2023,San Luis Obispo,SHORES,14.838493
2023,San Luis Obispo,DIABLO,25.730282
2023,San Luis Obispo,SUMMIT,6.7384677
2023,San Luis Obispo,BRIDGE,1.5193552
2023,San Luis Obispo,ROCK,3.3711803
2023,San Luis Obispo,ALMOND,31.011171
2023,San Luis Obispo,VALLEY,9.52999
2023,San Luis Obispo,JARDINE,1.1716064
2023,San Luis Obispo,GREEN,4.5023165
2023,San Luis Obispo,NEAL,2.2142537
2023,San Luis Obispo,BOULDER,70.79186
2023,San Luis Obispo,JARDINE,2.1519394
2023,San Luis Obispo,FRANKLIN,1.0086255
2023,San Luis Obispo,OAK,0.1144218
2023,San Luis Obispo,SHELL,114.79638
2023,San Luis Obispo,WILLOW,5.272589
2023,San Luis Obispo,CATTLE,0.8171355
2023,San Luis Obispo,TOPAZ,5.66248
2023,San Luis Obispo,WINEMAN,1.6828148
2023,San Luis Obispo,PANZA,3.0665643
2023,San Luis Obispo,CREST,2.421318
2023,San Luis Obispo,BITTER,0.75156534
2023,San Luis Obispo,TOWNSITE,8.690822
2023,San Luis Obispo,58 CARRIZO,13.342454
2023,San Luis Obispo,GENESEO,1.7021284
2023,San Luis Obispo,MOSS,1.8992652
2023,San Luis Obispo,RANGE,16.14059
2023,Napa,SNELL,97.11945
2023,Mendocino,AIRPORT,0.14
2023,San Diego,WILDCAT 2,12.2
2023,San Diego,COYOTE,466.5
2023,San Diego,COUSER 2,3.5
2023,San Diego,BLACKWOOD,37.4
2023,Shasta,RUBY,2.58
2023,Shasta,DURA,28.96
2023,San Diego,BORDER 14,61.07
2023,San Diego,BORDER 30,10.51
2023,San Diego,BORDER 13,17.95
2023,Stanislaus,GREY,11.021606
2023,Inyo,MAIN,54.54718
2023,Humboldt,PECWAN,12.89246
2023,Tulare,PARK,0.066574186
2023,Tulare,ROBIN,138.20946
2023,Riverside,JOHNSON,37.280434
2023,Riverside,ALMOND,14.435362
2023,Riverside,HOMESTEAD,8.132599
2023,Riverside,BROADWAY,1.601149
2023,Riverside,66,127.0
2023,Monterey,VEGA,1.98
2023,Fresno,ORANGE,108.165
2023,Fresno,RODEO,20.1026
2023,Fresno,STRIKE,19.1282
2023,Fresno,GEORGE,25.7406
2023,Fresno,CRANE,23.8874
2023,Fresno,PECK,14.3992
2023,Fresno,BRIDGE,30.3938
2023,Fresno,PISTOL,127.146
2023,Fresno,WINCHELL,16.7198
2023,Fresno,JUNIPER,11.1383
2023,Fresno,POWER,60.4371
2023,Fresno,LONG,27.6025
2023,Los Angeles,VICTOR,57.49
2023,San Diego,SAGE,39.686996
2023,San Mateo,WHIPPLE,26.824646
2023,Glenn,RIVER,3.3127263
2023,Kern,CORCORAN,2.5459447
2023,San Bernardino,NOB,226.9751
2023,San Luis Obispo,RINCONADA,96.376854
2023,San Luis Obispo,GIFFORD,48.993584
2023,Trinity,CARAWAY,11.839895
2023,Tuolumne,BONE,1180.6179
2023,Kern,TECUYA,76.19935
2023,Los Angeles,VISTA,25.906525
2023,Tuolumne,PEAK,836.8499
2023,Tulare,RABBIT,2857.988
2023,Fresno,RABBIT,2857.988
2023,Modoc,SPRING,12.345174
2023,Modoc,RIM,20.040205
2023,Trinity,SULPHER,31.21948
2023,Tuolumne,QUARRY,8645.426
2023,Los Angeles,DRY,16.75898
2023,Fresno,COTTON,23.560139
2023,Trinity,DEEP,4198.1943
2023,San Bernardino,YORK,93077.87
2023,Humboldt,LOST,739.8182
2023,Humboldt,BRIDGE RIDGE,16.54212
2023,Humboldt,DEVIL,12.40059
2023,Mariposa,PIKA,841.0
2023,Tulare,REDWOOD,2248.4492
2023,Tulare,SYCAMORE,23.93
2023,Merced,PANOCHE,67.260414
2023,Fresno,PANOCHE,67.260414
2023,San Diego,BORDER 34,23.668312
2023,San Diego,BORDER 42,38.605156
2023,San Bernardino,VALLEY,28.64047
2023,Riverside,GEOLOGY,1033.3076
2023,Alpine,WOLF CREEK,32.593967
2023,Sierra,HILL,52.93411
2023,Modoc,JANES,8.502274
2023,Modoc,JESS,56.06239
2023,Trinity,MULE,5.7026033
2023,Butte,L-1 BRANCH FISH,8.922971
2023,Kern,STINE,8.326042
2023,Siskiyou,MONTE,5.4899216
2023,Tehama,SLIDE 1,472.72086
2023,Nevada,HIGHWAY,44.804825
2023,Santa Barbara,ROAD,12.561141
2023,San Luis Obispo,ROAD,12.561141
2023,Humboldt,CREEK,8.368764
2023,Humboldt,PILOT,76.788704
2023,Kern,LANE,23.001375
2023,San Luis Obispo,AVENALES,259.8927
2023,Los Angeles,AGUA,426.20456
2023,Madera,KING,118.54605
2023,Fresno,WILDCAT,46.656696
2023,Mono,COWTRACK,322.9609
2023,Inyo,IMVITE,62.93432
2023,San Bernardino,STODDARD,81.68464
2023,Kern,GOLF,15.100448
2023,San Luis Obispo,HORN,14.802227
2023,Kern,KERTO,13.716989
2023,San Luis Obispo,KERTO,13.716989
2023,Kern,MINERAL,10.079878
2023,San Luis Obispo,GRADE,228.4782
2023,Calaveras,KNOLL,34.17575
2023,Kern,MAJORS,12.749071
2023,Riverside,MEADOW,22.089916
2023,San Diego,BORDER 38,12.77125
2023,San Luis Obispo,MIDWAY,63.70088
2023,Kern,NONAME,1113.8981
2023,Inyo,NONAME,1113.8981
2023,Kern,GRANITE,178.1577
2023,San Luis Obispo,ARROW,121.1558
2023,Imperial,Winterhaven Drive,62.323193
2023,Imperial,Winterhaven,15.253176
2023,Imperial,Laguna,19.897411
2023,Lassen,R-1 Spencer Basin,27.64029
2023,Riverside,BREEZE,22.555515
2023,Riverside,TRAM,90.480156
2023,San Diego,BUNNIE,183.92279
2023,Siskiyou,ASH,14.557843
2023,Siskiyou,RANCH,792.96967
2023,Siskiyou,LONG,29.746124
2023,Humboldt,PILOT,1055.1718
2023,Tulare,QUAIL 2,300.79202
2023,Del Norte,KELLY,89326.055
2023,Humboldt,3-9,2836.3904
2023,Siskiyou,TOWNSEND,81.23029
2023,Siskiyou,SCOTT,1935.9517
2023,Siskiyou,LAKE,200.20638
2023,Siskiyou,DEN,294.85117
2023,Siskiyou,HANCOCK,1728.1359
2023,Humboldt,PEARCH,12152.449
2023,Siskiyou,PEARCH,12152.449
2023,Siskiyou,LET ER-BUCK,95.91678
2023,Siskiyou,IRON,20.016975
2023,Del Norte,PRESCOTT,599.3448
2023,Siskiyou,ELLIOT,13875.254
2023,Siskiyou,TITUS,71.79534
2023,Siskiyou,UFISH,7850.5796
2023,Del Norte,MARLOW,1997.2063
2023,Del Norte,HURDY GURDY,2677.779
2023,Del Norte,CORRAL,1090.2815
2023,Del Norte,DIAMOND,550.0559
2023,Del Norte,ISLAND,378.41968
2023,Humboldt,LONE PINE,1684.7297
2023,Humboldt,MOSQUITO,34188.45
2023,Siskiyou,MOSQUITO,34188.45
2023,Del Norte,MOSQUITO,34188.45
2023,Siskiyou,HEAD,6953.8047
2022,Inyo,AIRPORT,4140.06
2022,Butte,DENIZ,29.84678
2022,Tehama,RANCHO,589.8671
2022,San Mateo,TOWER,28.684883
2022,Glenn,BURROWS,309.47934
2022,Butte,NELSON,5.888545
2022,Butte,NINETY-NINE,65.67123
2022,Butte,NELSON,371.46768
2022,Butte,PARK,56.338543
2022,Butte,SANDRA,34.40428
2022,Butte,JAN-DAR,30.506966
2022,Butte,RAIL,9.837949
2022,Butte,CANFIELD,9.554518
2022,Santa Clara,CANYON,16.409382
2022,San Bernardino,HIGHWAY,28.102592
2022,Alameda,BRUNS,12.174075
2022,Contra Costa,BRUNS,12.174075
2022,Alameda,CANYON,50.373
2022,Contra Costa,DEER,14.513908
2022,Contra Costa,WILLOW,28.562408
2022,Contra Costa,HIGHLAND,91.53281
2022,Alameda,PASS,65.37904
2022,Alameda,MIDWAY,13.505708
2022,Alameda,TESLA,551.7821
2022,Contra Costa,KIRKER,84.794464
2022,Alameda,FLYNN,173.75645
2022,Alameda,PASS,38.448074
2022,Alameda,FLYNN,131.91275
2022,Contra Costa,SCENIC,120.49831
2022,Contra Costa,CAMINO,19.183025
2022,Lassen,3-8 DIXON,11.369378
2022,Modoc,DONICA,129.1635
2022,Alameda,EDEN,58.31763
2022,Butte,HURLETON,6.6351876
2022,San Bernardino,HESPERIA,96.88597
2022,Butte,BIGGS,15.774124
2022,Butte,PINECREST,16.904053
2022,Butte,OREGON,14.323278
2022,Madera,FORK,818.4309
2022,Mariposa,OAK,18957.502
2022,Merced,ROMERO,344.15955
2022,San Mateo,EDGEWOOD,20.548388
2022,Mariposa,AGUA,396.77438
2022,Humboldt,CANYON,17.098555
2022,Humboldt,MCCOVEY,28.420027
2022,Humboldt,RANCH,26.318054
2022,Del Norte,RANCH,26.318054
2022,Tehama,FORWARD,159.98547
2022,Shasta,FORWARD,159.98547
2022,Tehama,RAINBOW,66.32885
2022,San Mateo,PIGEON,14.823567
2022,Contra Costa,BARRY,40.30602
2022,Contra Costa,FRANKLIN,50.129707
2022,Butte,EVITA,17.280203
2022,Butte,NELSON,33.07443
2022,Inyo,PLEASANT,49.569565
2022,Sacramento,NELDA,28.997728
2022,El Dorado,LATROBE,26.748446
2022,Sacramento,GRANT,73.11472
2022,Calaveras,ELECTRA,4466.2217
2022,Amador,ELECTRA,4466.2217
2022,Amador,COAL,16.748951
2022,Modoc,SPLAWN,7.1184506
2022,Humboldt,SYLVANDALE,21.177956
2022,Butte,VALE,27.991379
2022,Butte,NELSON,60.114025
2022,Mendocino,NOME,16.68011
2022,Mendocino,OWENS,34.015594
2022,Mendocino,BELL,42.916958
2022,Mendocino,WALKER,123.336075
2022,Tulare,MARMOT,126.60289
2022,Fresno,HOUSE,159.21475
2022,Fresno,LOPER,36.926723
2022,Fresno,POWER,133.75362
2022,Fresno,COBBLE,20.612238
2022,Fresno,PEBBLE,54.41259
2022,Fresno,HOPE,13.110812
2022,Fresno,TABLE,51.979774
2022,Butte,WALL,13.762632
2022,Siskiyou,SCARFACE,5.558662
2022,Siskiyou,SHACKLEFORD,30.946692
2022,Siskiyou,97,30.08391
2022,Siskiyou,SLOUGH,24.961243
2022,Siskiyou,MOUNTAIN,13440.71
2022,Siskiyou,MILL,3939.3823
2022,Siskiyou,WILDERNESS,1.8941436
2022,Siskiyou,WHITLOW,9.162147
2022,Siskiyou,MEAMBER,62.630283
2022,Siskiyou,EVERGREEN,12.582724
2022,Siskiyou,EMPIRE,3.1418822
2022,Siskiyou,RIDGE,10.260186
2022,Siskiyou,COYOTE,296.95166
2022,Siskiyou,GULCH,113.43159
2022,Tuolumne,SLATE 2,63.708847
2022,Tuolumne,WOODS,22.170097
2022,Santa Barbara,HOLLISTER,123.76858
2022,Nevada,BLOOMFIELD,39.552242
2022,Yuba,BRANDIE,71.878494
2022,Yuba,NISEMAN,17.066315
2022,Placer,SHERIDAN,55.714687
2022,Placer,MIRABELLE,18.670156
2022,Nevada,RICES,920.9178
2022,Nevada,BUTTERFIELD,12.367553
2022,Yuba,BAYBERRY,30.11021
2022,Placer,PORTER,166.60298
2022,Placer,RIOSA,37.561287
2022,Yuba,APPLE,41.097847
2022,Yuba,SPENCEVILLE,21.819218
2022,Placer,BEAR,9.674923
2022,Placer,OAK,24.02003
2022,Nevada,OWL,49.95041
