county,year,fire_count
Alameda,1950,1
Alameda,1951,1
Alameda,1952,1
Alameda,1954,1
Alameda,1955,1
Alameda,1958,2
Alameda,1959,1
Alameda,1961,2
Alameda,1962,1
Alameda,1964,2
Alameda,1966,2
Alameda,1968,3
Alameda,1970,3
Alameda,1973,1
Alameda,1974,2
Alameda,1979,1
Alameda,1980,2
Alameda,1982,1
Alameda,1983,1
Alameda,1988,1
Alameda,1991,1
Alameda,1992,1
Alameda,1996,3
Alameda,1997,2
Alameda,1998,4
Alameda,1999,3
Alameda,2000,1
Alameda,2001,1
Alameda,2002,4
Alameda,2003,4
Alameda,2005,10
Alameda,2006,1
Alameda,2010,1
Alameda,2011,3
Alameda,2015,1
Alameda,2018,2
Alameda,2019,1
Alameda,2020,1
Alameda,2022,9
Alpine,1924,1
Alpine,1929,1
Alpine,1939,1
Alpine,1941,2
Alpine,1946,1
Alpine,1947,4
Alpine,1948,2
Alpine,1949,1
Alpine,1951,1
Alpine,1953,1
Alpine,1954,1
Alpine,1955,3
Alpine,1959,2
Alpine,1960,1
Alpine,1964,2
Alpine,1965,1
Alpine,1968,1
Alpine,1970,1
Alpine,1971,1
Alpine,1973,1
Alpine,1974,2
Alpine,1977,1
Alpine,1981,1
Alpine,1983,1
Alpine,1984,3
Alpine,1985,2
Alpine,1986,1
Alpine,1987,2
Alpine,1988,1
Alpine,1989,1
Alpine,1992,1
Alpine,1996,2
Alpine,1999,3
Alpine,2000,2
Alpine,2002,1
Alpine,2003,1
Alpine,2004,1
Alpine,2007,1
Alpine,2008,1
Alpine,2012,1
Alpine,2014,1
Alpine,2015,1
Alpine,2016,1
Alpine,2017,3
Alpine,2018,5
Alpine,2019,3
Alpine,2020,1
Alpine,2021,5
Alpine,2023,1
Amador,1917,3
Amador,1918,3
Amador,1919,2
Amador,1922,1
Amador,1923,1
Amador,1924,3
Amador,1925,2
Amador,1927,3
Amador,1929,1
Amador,1934,1
Amador,1937,2
Amador,1938,1
Amador,1950,2
Amador,1951,2
Amador,1952,1
Amador,1954,2
Amador,1956,1
Amador,1957,1
Amador,1958,1
Amador,1959,2
Amador,1961,5
Amador,1962,1
Amador,1964,1
Amador,1965,1
Amador,1968,1
Amador,1969,1
Amador,1976,1
Amador,1978,1
Amador,1980,3
Amador,1981,1
Amador,1985,1
Amador,1988,1
Amador,1989,2
Amador,1990,1
Amador,1991,1
Amador,1992,1
Amador,1993,2
Amador,1994,3
Amador,1996,1
Amador,2001,3
Amador,2002,5
Amador,2003,2
Amador,2004,3
Amador,2005,1
Amador,2006,2
Amador,2008,1
Amador,2011,1
Amador,2013,1
Amador,2014,1
Amador,2015,1
Amador,2016,8
Amador,2017,3
Amador,2018,1
Amador,2019,1
Amador,2020,2
Amador,2021,4
Amador,2022,2
Amador,2023,4
Butte,1911,2
Butte,1914,1
Butte,1916,2
Butte,1917,9
Butte,1918,7
Butte,1919,3
Butte,1920,7
Butte,1921,5
Butte,1924,3
Butte,1926,5
Butte,1927,5
Butte,1928,2
Butte,1929,3
Butte,1930,3
Butte,1931,9
Butte,1932,3
Butte,1936,2
Butte,1939,1
Butte,1940,1
Butte,1941,1
Butte,1942,1
Butte,1943,3
Butte,1944,2
Butte,1945,2
Butte,1946,2
Butte,1948,1
Butte,1949,4
Butte,1950,4
Butte,1951,3
Butte,1953,2
Butte,1954,6
Butte,1955,1
Butte,1957,1
Butte,1958,2
Butte,1959,3
Butte,1960,2
Butte,1961,7
Butte,1963,1
Butte,1964,4
Butte,1965,1
Butte,1966,7
Butte,1967,1
Butte,1970,1
Butte,1971,1
Butte,1972,2
Butte,1973,5
Butte,1974,2
Butte,1975,2
Butte,1976,2
Butte,1977,1
Butte,1978,1
Butte,1979,3
Butte,1980,3
Butte,1983,3
Butte,1984,1
Butte,1985,1
Butte,1986,3
Butte,1987,2
Butte,1988,2
Butte,1989,2
Butte,1990,5
