county,year,total_acres_burned,unemployment_rate
alameda,2000,75.462364,3.6
alameda,2001,117.64471,4.8
alameda,2002,1502.49903,6.8
alameda,2003,6256.7194899999995,6.9
alameda,2005,7521.493918329999,5.1
alameda,2006,5540.274,4.4
alameda,2010,458.77512,11.2
alameda,2011,1179.30665,10.3
alameda,2015,2989.9253,4.8
alameda,2018,702.3485,3.1
alameda,2019,0.548332,3.0
alameda,2020,396824.47,8.9
alameda,2022,1095.648827,3.4
alpine,2000,241.033813,6.3
alpine,2002,26684.135,7.6
alpine,2003,4336.844,8.5
alpine,2004,8905.459,8.1
alpine,2007,20.161188,7.9
alpine,2008,28.504213,10.5
alpine,2012,180.11018,11.2
alpine,2014,94.216576,8.3
alpine,2015,17779.54,7.5
alpine,2016,649.8756,6.5
alpine,2017,13413.316620000001,6.2
alpine,2018,36672.8610155,4.6
alpine,2019,97.65281200000001,5.2
alpine,2020,26751.78,11.7
alpine,2021,290035.06313,8.2
alpine,2023,32.593967,6.5
amador,2001,2232.4259065,5.1
amador,2002,951.951251,5.8
amador,2003,315.55049599999995,6.2
amador,2004,17450.808,5.8
amador,2005,21.235668,5.6
amador,2006,183.72784000000001,5.3
amador,2008,250.52602,7.7
amador,2011,342.90433,13.8
amador,2013,16.32401,10.4
amador,2014,4239.272,8.4
amador,2015,70846.53,6.6
amador,2016,773.1814870000001,6.0
amador,2017,33.476312969999995,5.0
amador,2018,824.97784,4.1
amador,2019,10.239115,3.9
amador,2020,68.399677,9.4
amador,2021,221916.625827,7.0
amador,2022,4482.970651,4.5
amador,2023,168.653692,5.1
butte,2000,58398.47514,6.1
butte,2001,10631.3424,6.6
butte,2002,2386.6759949999996,7.5
butte,2003,1779.458485,7.7
butte,2004,1954.7059,7.4
butte,2006,540.81862,6.2
butte,2007,2031.1526399999998,6.6
butte,2008,113952.855874,8.5
butte,2009,298.452617,12.8
butte,2010,699.3231460000001,14.2
butte,2011,48.190822,13.9
butte,2012,265.923948,12.3
butte,2013,3187.120874,10.4
butte,2014,713.9319499999999,8.7
butte,2015,2488.793987,7.2
butte,2016,1640.222213,6.6
butte,2017,34956.032326,5.8
butte,2018,155141.87964199999,5.1
butte,2019,567.582903,5.1
butte,2020,321774.150212,9.4
butte,2021,964034.3585349999,6.9
butte,2022,819.3758026,4.5
butte,2023,189.284291,5.2
calaveras,2000,724.83203,5.5
calaveras,2001,20983.00015,5.5
calaveras,2002,1344.39983,6.6
calaveras,2003,673.5568704899999,7.5
calaveras,2004,25054.1766894,6.8
calaveras,2005,277.961031,6.2
calaveras,2006,676.778956,5.8
calaveras,2007,743.34979,6.4
calaveras,2008,234.233147,8.7
calaveras,2009,570.6834,14.2
calaveras,2011,967.41092,14.3
calaveras,2012,1436.96523,12.6
calaveras,2013,57.6847365,10.1
calaveras,2015,70846.53,6.4
calaveras,2016,1343.912098,5.7
calaveras,2017,368.68719799999997,4.8
calaveras,2018,12296.00769,4.0
calaveras,2019,68.1045344,3.8
calaveras,2020,2991.736,7.8
calaveras,2021,804.3163900000001,5.8
calaveras,2022,4466.2217,3.7
calaveras,2023,140.17575,4.2
colusa,2001,24927.338,12.9
colusa,2002,110.37319,13.9
colusa,2003,1750.89859,14.5
colusa,2005,392.0704,12.7
colusa,2006,274.12338,12.2
colusa,2008,11248.065085,13.9
colusa,2009,2539.49535,18.3
colusa,2012,56999.582500000004,21.0
colusa,2014,24.136517,17.6
colusa,2015,69438.164,15.5
colusa,2017,80.7557955,14.3
colusa,2018,425399.392,13.2
colusa,2019,2423.9366234,12.9
colusa,2020,1338778.7861787,16.4
colusa,2021,5.5589447,12.5
contra costa,2000,79.576416,3.5
contra costa,2002,200.15445,5.8
contra costa,2003,398.61592,6.2
contra costa,2004,624.9357,5.4
contra costa,2005,1212.205316,4.8
contra costa,2010,695.5720699999999,11.2
contra costa,2011,17.324066,10.5
contra costa,2013,3585.77042,7.6
contra costa,2018,247.05008,3.2
contra costa,2019,740.4729,3.1
contra costa,2020,396824.47,9.0
contra costa,2021,268.236968,6.4
contra costa,2022,461.694727,3.6
del norte,2001,101.13669,8.1
del norte,2002,502100.22365,8.8
del norte,2006,422.06192,6.9
del norte,2007,120.522625,7.4
del norte,2008,83529.242296,8.8
del norte,2009,324.33014000000003,12.3
del norte,2011,20.655537,13.5
del norte,2013,10.09579,12.0
del norte,2014,0.49863726,10.2
del norte,2015,37968.297211,8.6
del norte,2017,91379.11935499999,6.5
del norte,2018,38122.687892,5.7
del norte,2020,157429.86,9.7
del norte,2022,26.318054,5.2
del norte,2023,130807.59217999999,5.7
el dorado,2001,660.227844,4.3
el dorado,2002,4782.288122,5.3
el dorado,2003,300.223657,5.6
el dorado,2004,7627.464684,5.3
el dorado,2005,87.216441,4.8
el dorado,2006,8729.5623,4.6
el dorado,2007,3196.7473581599997,5.1
el dorado,2008,271.33825934,7.0
el dorado,2009,642.64557,11.3
el dorado,2011,682.169044,11.9
el dorado,2012,44.305786,10.4
el dorado,2013,616.5545425,8.6
el dorado,2014,101945.526948,7.1
el dorado,2015,106.081459,5.7
el dorado,2016,5894.23833,5.2
el dorado,2017,2078.2191997299997,4.4
el dorado,2018,594.456966,3.6
el dorado,2019,3617.5431200000003,3.6
el dorado,2020,1724.398574,8.5
el dorado,2021,221966.96340500002,5.8
el dorado,2022,76813.33262500001,3.4
el dorado,2023,11.7,4.0
fresno,2000,1424.967653,10.3
fresno,2001,6767.262232,10.7
fresno,2002,2750.7732815,11.6
fresno,2003,873.041338,11.8
fresno,2004,1272.150863,10.4
fresno,2005,17813.999076699998,9.0
fresno,2006,14623.228491,8.0
fresno,2007,6395.2688235,8.5
fresno,2008,13311.504276,10.6
fresno,2009,195.414876,15.3
fresno,2010,9258.20506,17.1
fresno,2011,912.341774,16.8
fresno,2012,1464.3283179999999,15.4
fresno,2013,23949.444045,13.4
fresno,2014,14026.9874918,11.7
fresno,2015,151906.923094,10.3
fresno,2016,16393.767062,9.5
fresno,2017,69448.53906499999,8.6
fresno,2018,2258.1211971,7.6
fresno,2019,816.273201,7.3
fresno,2020,415007.218878,11.6
fresno,2021,705.393732,9.1
fresno,2022,510.86840600000005,6.5
fresno,2023,3480.3257489999996,7.5
glenn,2000,1110.2095,8.4
glenn,2001,25570.046016,8.8
glenn,2003,9850.501650100001,10.3
glenn,2005,324.69672,8.4
glenn,2006,16234.268,8.0
glenn,2012,4429.401,14.4
glenn,2013,434.10234,12.2
glenn,2014,268.630682,10.8
glenn,2016,1.5975771,8.4
glenn,2018,412651.55752,6.6
glenn,2019,4.3765426,6.2
glenn,2020,1034078.88987,9.0
glenn,2021,219.72816,7.0
glenn,2022,330.57224499999995,5.4
glenn,2023,3.3127263,6.3
humboldt,2000,70.0899,5.7
humboldt,2001,378.983997,6.0
humboldt,2002,36.301808,6.8
humboldt,2003,23937.544372199998,6.9
humboldt,2004,4653.34779,6.5
humboldt,2006,15647.657468399999,5.5
humboldt,2007,150.2928638,5.9
humboldt,2008,16845.100788300002,7.3
humboldt,2009,9747.043565599999,11.1
humboldt,2010,202.35501,10.8
humboldt,2011,641.926697,10.7
humboldt,2012,202.86909736,9.7
humboldt,2013,35640.2217878,8.2
humboldt,2014,615.796684,6.7
humboldt,2015,139941.663826,5.6
humboldt,2016,682.680827,4.9
humboldt,2017,160.437039,4.2
humboldt,2018,4038.0804099999996,3.6
humboldt,2020,144188.989374,8.5
humboldt,2021,2456.66113,6.3
humboldt,2022,41702.636875000004,4.1
humboldt,2023,52784.001738,4.6
imperial,2007,698.972,17.9
imperial,2008,342.778774,22.6
imperial,2009,111.60974,28.3
imperial,2011,766.737816,29.3
imperial,2012,172.378597,27.7
