county,FIRE_YEAR,fire_count
Alameda,1992,62
Alameda,1993,76
Alameda,1994,50
Alameda,1995,45
Alameda,1996,59
Alameda,1997,68
Alameda,1998,55
Alameda,1999,38
Alameda,2000,45
Alameda,2001,55
Alameda,2002,48
Alameda,2003,46
Alameda,2004,54
Alameda,2005,161
Alameda,2006,236
Alameda,2007,185
Alameda,2008,160
Alameda,2009,165
Alameda,2010,134
Alameda,2011,125
Alameda,2012,26
Alameda,2013,63
Alameda,2014,42
Alameda,2015,56
Alameda,2016,113
Alameda,2017,88
Alameda,2018,225
Alameda,2019,114
Alameda,2020,188
Alpine,1992,88
Alpine,1993,23
Alpine,1994,40
Alpine,1995,10
Alpine,1996,37
Alpine,1997,33
Alpine,1998,58
Alpine,1999,51
Alpine,2000,126
Alpine,2001,60
Alpine,2002,49
Alpine,2003,70
Alpine,2004,49
Alpine,2005,24
Alpine,2006,52
Alpine,2007,34
Alpine,2008,20
Alpine,2009,19
Alpine,2010,23
Alpine,2011,17
Alpine,2012,22
Alpine,2013,46
Alpine,2014,59
Alpine,2015,20
Alpine,2016,16
Alpine,2017,33
Alpine,2018,23
Alpine,2019,10
Alpine,2020,41
Amador,1992,94
Amador,1993,63
Amador,1994,68
Amador,1995,39
Amador,1996,66
Amador,1997,73
Amador,1998,47
Amador,1999,109
Amador,2000,73
Amador,2001,67
Amador,2002,74
Amador,2003,82
Amador,2004,74
Amador,2005,54
Amador,2006,67
Amador,2007,90
Amador,2008,58
Amador,2009,69
Amador,2010,50
Amador,2011,48
Amador,2012,56
Amador,2013,78
Amador,2014,71
Amador,2015,49
Amador,2016,63
Amador,2017,65
Amador,2018,60
Amador,2019,18
Amador,2020,24
Butte,1992,318
Butte,1993,324
Butte,1994,281
Butte,1995,273
Butte,1996,286
Butte,1997,264
Butte,1998,190
Butte,1999,334
Butte,2000,242
Butte,2001,315
Butte,2002,356
Butte,2003,252
Butte,2004,283
Butte,2005,225
Butte,2006,259
Butte,2007,367
Butte,2008,270
Butte,2009,281
Butte,2010,180
Butte,2011,212
Butte,2012,185
Butte,2013,282
Butte,2014,287
Butte,2015,263
Butte,2016,214
Butte,2017,233
Butte,2018,224
Butte,2019,121
Butte,2020,210
Calaveras,1992,168
Calaveras,1993,107
Calaveras,1994,136
Calaveras,1995,96
Calaveras,1996,165
Calaveras,1997,149
Calaveras,1998,82
Calaveras,1999,164
Calaveras,2000,109
Calaveras,2001,111
Calaveras,2002,123
