YEAR,MONTH,fire_count,SEASON
1992,1,92,Winter
1992,2,54,Winter
1992,3,48,Spring
1992,4,259,Spring
1992,5,1339,Spring
1992,6,2185,Summer
1992,7,2062,Summer
1992,8,2284,Summer
1992,9,1361,Fall
1992,10,753,Fall
1992,11,293,Fall
1992,12,101,Winter
1993,1,31,Winter
1993,2,40,Winter
1993,3,69,Spring
1993,4,201,Spring
1993,5,749,Spring
1993,6,1196,Summer
1993,7,1677,Summer
1993,8,1672,Summer
1993,9,1264,Fall
1993,10,750,Fall
1993,11,494,Fall
1993,12,125,Winter
1994,1,189,Winter
1994,2,79,Winter
1994,3,192,Spring
1994,4,332,Spring
1994,5,617,Spring
1994,6,1441,Summer
1994,7,2019,Summer
1994,8,1380,Summer
1994,9,1525,Fall
1994,10,590,Fall
1994,11,190,Fall
1994,12,95,Winter
1995,1,34,Winter
1995,2,59,Winter
1995,3,34,Spring
1995,4,103,Spring
1995,5,315,Spring
1995,6,938,Summer
1995,7,1721,Summer
1995,8,1451,Summer
1995,9,1080,Fall
1995,10,983,Fall
1995,11,503,Fall
1995,12,160,Winter
1996,1,160,Winter
1996,2,44,Winter
1996,3,94,Spring
1996,4,488,Spring
1996,5,895,Spring
1996,6,1367,Summer
1996,7,2158,Summer
1996,8,2004,Summer
1996,9,885,Fall
1996,10,773,Fall
1996,11,256,Fall
1996,12,46,Winter
1997,1,43,Winter
1997,2,137,Winter
1997,3,322,Spring
1997,4,572,Spring
1997,5,1130,Spring
1997,6,1113,Summer
1997,7,1795,Summer
1997,8,1128,Summer
1997,9,924,Fall
1997,10,504,Fall
1997,11,187,Fall
1997,12,73,Winter
1998,1,36,Winter
1998,2,19,Winter
1998,3,63,Spring
1998,4,121,Spring
1998,5,251,Spring
1998,6,723,Summer
1998,7,1622,Summer
1998,8,1720,Summer
1998,9,1214,Fall
1998,10,763,Fall
1998,11,196,Fall
1998,12,133,Winter
1999,1,205,Winter
1999,2,87,Winter
1999,3,150,Spring
1999,4,304,Spring
1999,5,753,Spring
1999,6,1264,Summer
1999,7,1872,Summer
1999,8,1881,Summer
1999,9,1129,Fall
1999,10,702,Fall
1999,11,262,Fall
1999,12,300,Winter
2000,1,154,Winter
2000,2,68,Winter
2000,3,141,Spring
2000,4,286,Spring
2000,5,539,Spring
2000,6,1185,Summer
2000,7,1496,Summer
2000,8,1489,Summer
