YEAR,AvgTemp,FireCount
1984,64.41,104
1985,62.52,85
1986,63.71,98
1987,62.71,102
1988,62.94,109
1989,63.21,96
1990,63.76,71
1991,62.52,47
1992,64.79,88
1993,64.05,79
1994,63.59,94
1995,63.37,106
1996,64.16,132
1997,64.98,103
1998,62.14,70
1999,62.6,128
2000,63.05,97
2001,61.77,108
2002,62.1,131
2003,63.21,114
2004,63.35,134
2005,63.07,140
2006,63.8,127
2007,62.7,156
2008,63.69,138
2009,62.78,134
2010,61.96,108
2011,61.86,145
2012,63.43,172
2013,63.78,151
2014,66.02,119
2015,65.58,141
2016,64.87,155
2017,65.15,197
2018,65.28,186
2019,64.02,153
2020,64.71,188
2021,62.72,173
2022,64.89,151
2023,62.56,141
2024,62.5,0
2025,57.79,0
